x,y,theta,v,x_ref,y_ref,theta_ref
-2.395835,-0.387963,4.908689,1.000000,-2.810417,-4.135403,5.686283
-2.386083,-0.437003,4.924013,1.000000,-2.745114,-4.179037,5.701991
-2.375580,-0.485887,4.939370,1.000000,-2.679134,-4.221640,5.717699
-2.364329,-0.534605,4.954758,1.000000,-2.612493,-4.263201,5.733407
-2.352328,-0.583144,4.970178,1.000000,-2.545207,-4.303710,5.749115
-2.339581,-0.631491,4.985630,1.000000,-2.477293,-4.343158,5.764823
-2.326089,-0.679636,5.001114,1.000000,-2.408768,-4.381533,5.780530
-2.311852,-0.727567,5.016630,1.000000,-2.339649,-4.418828,5.796238
-2.296874,-0.775271,5.032178,1.000000,-2.269952,-4.455033,5.811946
-2.281155,-0.822736,5.047758,1.000000,-2.199696,-4.490138,5.827654
-2.264699,-0.869950,5.063369,1.000000,-2.128896,-4.524135,5.843362
-2.247508,-0.916902,5.079012,1.000000,-2.057572,-4.557016,5.859070
-2.229585,-0.963579,5.094686,1.000000,-1.985739,-4.588773,5.874778
-2.210933,-1.009970,5.110393,1.000000,-1.913417,-4.619398,5.890486
-2.191554,-1.056061,5.126130,1.000000,-1.840623,-4.648882,5.906194
-2.171452,-1.101843,5.141899,1.000000,-1.767374,-4.677220,5.921902
-2.150630,-1.147301,5.157700,1.000000,-1.693690,-4.704404,5.937610
-2.129094,-1.192425,5.173532,1.000000,-1.619587,-4.730427,5.953318
-2.106845,-1.237202,5.189394,1.000000,-1.545085,-4.755283,5.969026
-2.083889,-1.281621,5.205288,1.000000,-1.470202,-4.778965,5.984734
-2.060230,-1.325669,5.221213,1.000000,-1.394956,-4.801468,6.000442
-2.035872,-1.369335,5.237169,1.000000,-1.319365,-4.822787,6.016150
-2.010821,-1.412607,5.253156,1.000000,-1.243449,-4.842916,6.031858
-1.985081,-1.455472,5.269173,1.000000,-1.167227,-4.861850,6.047566
-1.958659,-1.497920,5.285220,1.000000,-1.090716,-4.879584,6.063274
-1.931558,-1.539939,5.301298,1.000000,-1.013936,-4.896114,6.078982
-1.903785,-1.581516,5.317407,1.000000,-0.936907,-4.911436,6.094690
-1.875346,-1.622641,5.333545,1.000000,-0.859646,-4.925547,6.110398
-1.846248,-1.663301,5.349713,1.000000,-0.782172,-4.938442,6.126106
-1.816495,-1.703486,5.365911,1.000000,-0.704506,-4.950118,6.141814
-1.786096,-1.743183,5.382138,1.000000,-0.626666,-4.960574,6.157522
-1.755056,-1.782382,5.398395,1.000000,-0.548672,-4.969805,6.173230
-1.723384,-1.821071,5.414681,1.000000,-0.470542,-4.977810,6.188938
-1.691085,-1.859239,5.430996,1.000000,-0.392295,-4.984587,6.204645
-1.658169,-1.896875,5.447340,1.000000,-0.313953,-4.990134,6.220353
-1.624641,-1.933968,5.463712,1.000000,-0.235532,-4.994449,6.236061
-1.590511,-1.970508,5.480112,1.000000,-0.157054,-4.997533,6.251769
-1.555786,-2.006482,5.496541,1.000000,-0.078537,-4.999383,6.267477
-1.520474,-2.041882,5.512997,1.000000,-0.000000,-5.000000,6.283185
