x,y,theta,v,x_ref,y_ref,theta_ref
3.910126,3.307733,8.814386,1.000000,-2.679134,-4.221640,5.717699
3.869155,3.336392,8.831582,1.000000,-2.612493,-4.263201,5.733407
3.827697,3.364343,8.848779,1.000000,-2.545207,-4.303710,5.749115
3.785765,3.391577,8.865978,1.000000,-2.477293,-4.343158,5.764823
3.743370,3.418085,8.883177,1.000000,-2.408768,-4.381533,5.780530
3.700526,3.443860,8.900376,1.000000,-2.339649,-4.418828,5.796238
3.657245,3.468895,8.917577,1.000000,-2.269952,-4.455033,5.811946
3.613539,3.493182,8.934778,1.000000,-2.199696,-4.490138,5.827654
3.569423,3.516713,8.951979,1.000000,-2.128896,-4.524135,5.843362
3.524908,3.539482,8.969181,1.000000,-2.057572,-4.557016,5.859070
3.480008,3.561482,8.986384,1.000000,-1.985739,-4.588773,5.874778
3.434736,3.582706,9.003586,1.000000,-1.913417,-4.619398,5.890486
3.389106,3.603149,9.020789,1.000000,-1.840623,-4.648882,5.906194
3.343131,3.622803,9.037993,1.000000,-1.767374,-4.677220,5.921902
3.296825,3.641664,9.055196,1.000000,-1.693690,-4.704404,5.937610
3.250201,3.659725,9.072400,1.000000,-1.619587,-4.730427,5.953318
3.203273,3.676982,9.089604,1.000000,-1.545085,-4.755283,5.969026
3.156055,3.693428,9.106807,1.000000,-1.470202,-4.778965,5.984734
3.108562,3.709060,9.124011,1.000000,-1.394956,-4.801468,6.000442
3.060806,3.723873,9.141215,1.000000,-1.319365,-4.822787,6.016150
3.012803,3.737862,9.158419,1.000000,-1.243449,-4.842916,6.031858
2.964566,3.751023,9.175622,1.000000,-1.167227,-4.861850,6.047566
2.916110,3.763352,9.192826,1.000000,-1.090716,-4.879584,6.063274
2.867449,3.774846,9.210029,1.000000,-1.013936,-4.896114,6.078982
2.818598,3.785501,9.227232,1.000000,-0.936907,-4.911436,6.094690
2.769570,3.795314,9.244435,1.000000,-0.859646,-4.925547,6.110398
2.720381,3.804283,9.261637,1.000000,-0.782172,-4.938442,6.126106
2.671045,3.812404,9.278839,1.000000,-0.704506,-4.950118,6.141814
2.621577,3.819675,9.296041,1.000000,-0.626666,-4.960574,6.157522
2.571990,3.826094,9.313242,1.000000,-0.548672,-4.969805,6.173230
2.522301,3.831659,9.330443,1.000000,-0.470542,-4.977810,6.188938
2.472523,3.836369,9.347644,1.000000,-0.392295,-4.984587,6.204645
2.422672,3.840222,9.364843,1.000000,-0.313953,-4.990134,6.220353
2.372762,3.843217,9.382043,1.000000,-0.235532,-4.994449,6.236061
2.322807,3.845353,9.399242,1.000000,-0.157054,-4.997533,6.251769
2.272824,3.846629,9.416440,1.000000,-0.078537,-4.999383,6.267477
2.222825,3.847046,9.433638,1.000000,-0.000000,-5.000000,6.283185
2.172827,3.846603,9.450835,1.000000,0.078537,-4.999383,6.298893
2.122844,3.845301,9.468032,1.000000,0.157054,-4.997533,6.314601
2.072891,3.843139,9.485227,1.000000,0.235532,-4.994449,6.330309
2.022982,3.840118,9.502423,1.000000,0.313953,-4.990134,6.346017
1.973133,3.836240,9.519617,1.000000,0.392295,-4.984587,6.361725
1.923358,3.831505,9.536811,1.000000,0.470542,-4.977810,6.377433
1.873671,3.825915,9.554004,1.000000,0.548672,-4.969805,6.393141
1.824088,3.819472,9.571196,1.000000,0.626666,-4.960574,6.408849
1.774623,3.812177,9.588387,1.000000,0.704506,-4.950118,6.424557
1.725291,3.804033,9.605578,1.000000,0.782172,-4.938442,6.440265
1.676106,3.795042,9.622768,1.000000,0.859646,-4.925547,6.455973
1.627083,3.785207,9.639957,1.000000,0.936907,-4.911436,6.471681
1.578236,3.774531,9.657145,1.000000,1.013936,-4.896114,6.487389
1.529580,3.763017,9.674332,1.000000,1.090716,-4.879584,6.503097
1.481128,3.750668,9.691519,1.000000,1.167227,-4.861850,6.518805
1.432897,3.737489,9.708704,1.000000,1.243449,-4.842916,6.534513
1.384899,3.723482,9.725889,1.000000,1.319365,-4.822787,6.550221
1.337148,3.708653,9.743073,1.000000,1.394956,-4.801468,6.565929
1.289660,3.693006,9.760255,1.000000,1.470202,-4.778965,6.581637
1.242447,3.676545,9.777437,1.000000,1.545085,-4.755283,6.597345
1.195524,3.659275,9.794618,1.000000,1.619587,-4.730427,6.613053
1.148905,3.641202,9.811798,1.000000,1.693690,-4.704404,6.628760
1.102603,3.622330,9.828977,1.000000,1.767374,-4.677220,6.644468
