x,y,theta,v,x_ref,y_ref,theta_ref
1.243773,3.143385,3.344458,0.000000,-3.535534,-3.535534,5.497787
1.243773,3.143385,3.344458,1.000000,-3.479564,-3.590631,5.513495
1.194798,3.133311,3.360215,0.000000,-3.422736,-3.644843,5.529203
1.194798,3.133311,3.360215,1.000000,-3.365063,-3.698155,5.544911
1.145988,3.122467,3.366312,0.000000,-3.306559,-3.750555,5.560619
1.145988,3.122467,3.366312,1.000000,-3.247240,-3.802030,5.576327
1.097245,3.111325,3.377358,0.000000,-3.187120,-3.852566,5.592035
1.097245,3.111325,3.377358,1.000000,-3.126213,-3.902152,5.607743
1.048629,3.099646,3.401037,0.000000,-3.064535,-3.950775,5.623451
1.048629,3.099646,3.401037,1.000000,-3.002101,-3.998423,5.639159
1.000302,3.086819,3.417395,0.000000,-2.938926,-4.045085,5.654867
1.000302,3.086819,3.417395,1.000000,-2.875026,-4.090749,5.670575
0.952192,3.073203,3.423710,0.000000,-2.810417,-4.135403,5.686283
0.952192,3.073203,3.423710,1.000000,-2.745114,-4.179037,5.701991
0.904168,3.059283,3.445491,0.000000,-2.679134,-4.221640,5.717699
0.904168,3.059283,3.445491,1.000000,-2.612493,-4.263201,5.733407
0.856459,3.044321,3.461521,0.000000,-2.545207,-4.303710,5.749115
0.856459,3.044321,3.461521,1.000000,-2.477293,-4.343158,5.764823
0.808996,3.028596,3.476112,0.000000,-2.408768,-4.381533,5.780530
0.808996,3.028596,3.476112,1.000000,-2.339649,-4.418828,5.796238
0.761768,3.012180,3.482003,0.000000,-2.269952,-4.455033,5.811946
0.761768,3.012180,3.482003,1.000000,-2.199696,-4.490138,5.827654
0.714637,2.995487,3.503820,0.000000,-2.128896,-4.524135,5.843362
0.714637,2.995487,3.503820,1.000000,-2.057572,-4.557016,5.859070
0.667882,2.977769,3.519955,0.000000,-1.985739,-4.588773,5.874778
0.667882,2.977769,3.519955,1.000000,-1.913417,-4.619398,5.890486
0.621418,2.959299,3.526434,0.000000,-1.840623,-4.648882,5.906194
0.621418,2.959299,3.526434,1.000000,-1.767374,-4.677220,5.921902
0.575075,2.940528,3.537994,0.000000,-1.693690,-4.704404,5.937610
0.575075,2.940528,3.537994,1.000000,-1.619587,-4.730427,5.953318
0.528952,2.921223,3.562253,0.000000,-1.545085,-4.755283,5.969026
0.528952,2.921223,3.562253,1.000000,-1.470202,-4.778965,5.984734
0.483311,2.900805,3.578976,0.000000,-1.394956,-4.801468,6.000442
0.483311,2.900805,3.578976,1.000000,-1.319365,-4.822787,6.016150
0.438018,2.879626,3.585679,0.000000,-1.243449,-4.842916,6.031858
0.438018,2.879626,3.585679,1.000000,-1.167227,-4.861850,6.047566
0.392868,2.858145,3.608035,0.000000,-1.090716,-4.879584,6.063274
0.392868,2.858145,3.608035,1.000000,-1.013936,-4.896114,6.078982
0.348209,2.835659,3.624479,0.000000,-0.936907,-4.911436,6.094690
0.348209,2.835659,3.624479,1.000000,-0.859646,-4.925547,6.110398
0.303926,2.812442,3.639512,0.000000,-0.782172,-4.938442,6.126106
0.303926,2.812442,3.639512,1.000000,-0.704506,-4.950118,6.141814
0.259997,2.788562,3.645844,0.000000,-0.626666,-4.960574,6.157522
